4,1,(
3,1,START
5,1,)
4,2,(
0,2,10.5
0,2,2.5
2,2,+
5,2,)
4,3,(
0,3,50.0
0,3,10.0
2,3,-
5,3,)
4,4,(
0,4,3.0
0,4,4.0
2,4,*
5,4,)
4,5,(
0,5,10.0
0,5,3.0
2,5,|
5,5,)
4,6,(
0,6,15
0,6,4
2,6,/
5,6,)
4,7,(
0,7,10
0,7,3
2,7,%
5,7,)
4,8,(
0,8,2
0,8,3
2,8,^
5,8,)
4,9,(
0,9,100.0
1,9,GLOBAL
5,9,)
4,10,(
1,10,GLOBAL
5,10,)
4,11,(
0,11,0
3,11,RES
5,11,)
4,12,(
4,12,(
0,12,10
0,12,10
6,12,==
5,12,)
4,12,(
0,12,1
3,12,RES
5,12,)
4,12,(
0,12,0
3,12,RES
5,12,)
3,12,IFELSE
5,12,)
4,13,(
0,13,0
1,13,CONTADOR
5,13,)
4,14,(
4,14,(
4,14,(
1,14,CONTADOR
5,14,)
0,14,5
6,14,<=
5,14,)
4,14,(
4,14,(
4,14,(
1,14,CONTADOR
5,14,)
0,14,1
2,14,+
5,14,)
1,14,CONTADOR
5,14,)
3,14,WHILE
5,14,)
4,15,(
1,15,CONTADOR
5,15,)
4,16,(
4,16,(
0,16,10.0
0,16,10.0
2,16,*
5,16,)
0,16,2.0
2,16,|
5,16,)
4,17,(
3,17,END
5,17,)
